,Name,src,target
0,0,"
Is there anything you want to ask about this job?
To whom will i report?
Your manager will be the cfo. anything else?
How many people work in finance?","There's five people in finance right now, but we might hire more people soon."
1,1," Do you have any education in making cocktails etc?
Yes, I took a course in cocktails and drinks. It should be attached to my application."," How long was the course you took?
"
2,2," Do you have any education in making cocktails etc?
Yes, I took a cocktail and drink preparation course. It should have been included with my application."," How long was the course you took?
"
3,3," Do you have any education in making cocktails etc?
Yes, I did a cocktail and beverage preparation course. It should have been attached to my application."," How long was the course you took?
"
4,4," Do you have any education in making cocktails etc?
Yes, I took a course in making cocktails and drinks. It should have been attached to my question."," How long was the course you took?
"
5,5," Do you have any education in making cocktails etc?
Yes, I took a course in cocktails and drinks. It must be attached to my application."," How long was the course you took?
"
6,6," Do you have any education in making cocktails etc?
Yes, I did a cocktail and drinks course. It should be attached to my application."," How long was the course you took?
"
7,7," Do you have any education in making cocktails etc?
Yes, I took a cocktail and beverage course. It should be attached to my question."," How long was the course you took?
"
8,8," Do you have any education in making cocktails etc?
Yes, I did a cocktail and drink preparation course. It should be included in my application."," How long was the course you took?
"
9,9," Do you have any education in making cocktails etc?
Yes, I did a cocktail and beverage preparation course. It should have been included with my application."," How long was the course you took?
"
10,10," Do you have any education in making cocktails etc?
Yes, I took a cocktail and beverage preparation course. It should have been included with my question."," How long was the course you took?
"
11,11," Do you have any education in making cocktails etc?
Yes, I did a cocktail and drink preparation course. It should be attached to my application."," How long was the course you took?
"
12,12," Do you have any education in making cocktails etc?
Yes, I took a cocktail and beverage preparation course. It should have been attached to my question."," How long was the course you took?
"
13,13," Do you have any education in making cocktails etc?
Yes, I took a course in cocktails and drinks. It should have been added to my question."," How long was the course you took?
"
14,14," Do you have any education in making cocktails etc?
Yes, I took a cocktail and drink preparation course. This should have been attached to my question."," How long was the course you took?
"
15,15," Do you have any education in making cocktails etc?
Yes, I did a cocktail and beverage preparation course. It should have been attached to my question."," How long was the course you took?
"
16,16,"
What do you think seems fun about this job?
I like to take care of people. I feel important!","I see, that sounds like a good quality for this job!"
17,17,"
What do you think seems fun about this job?
I like to take care of people. it makes me feel important!","I see, that sounds like a good quality for this job!"
18,18,"
What do you think seems fun about this job?
I like to take care of people. makes me feel important!","I see, that sounds like a good quality for this job!"
19,19,"
What do you think seems fun about this job?
I like to take care of people. makes me important!","I see, that sounds like a good quality for this job!"
20,20,"
What do you think seems fun about this job?
I like working with and getting to know new people!",I take it you're very social then?
21,21,"
What do you think seems fun about this job?
I love to work and meet new people!",I take it you're very social then?
22,22,"
What do you think seems fun about this job?
I like working and meeting new people!",I take it you're very social then?
23,23,"
What do you think seems fun about this job?
I love working and meeting new people!",I take it you're very social then?
24,24,"
What do you think seems fun about this job?
I like to work and meet new people!",I take it you're very social then?
25,25," What have you worked with previously?
I previously worked as a cleaner for 2 years and I worked in a warehouse for 5 years."," Great, what do you enjoy about working as a cleaner?
"
26,26," What have you worked with previously?
I previously worked as a cleaner for 2 years and worked in a warehouse for 5 years."," Great, what do you enjoy about working as a cleaner?
"
27,27," What have you worked with previously?
I have previously worked as a cleaner for 2 years and have worked in a warehouse for 5 years."," Great, what do you enjoy about working as a cleaner?
"
28,28," What have you worked with previously?
Before that, I worked as a cleaning lady for 2 years and worked in a warehouse for 5 years."," Great, what do you enjoy about working as a cleaner?
"
29,29," What have you worked with previously?
Before that, I worked as a cleaner for 2 years and worked in a warehouse for 5 years."," Great, what do you enjoy about working as a cleaner?
"
30,30,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just got my diploma after the exam, but I have no practical experience","We belong to a union, are you member of a union?"
31,31,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just received my diploma after exam but I have no practical experience","We belong to a union, are you member of a union?"
32,32,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just got my diploma after the exam, but I have no practical experience.","We belong to a union, are you member of a union?"
33,33,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just graduated after the exam but I have no practical experience","We belong to a union, are you member of a union?"
34,34,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just received my diploma after the exam, but I have no practical experience","We belong to a union, are you member of a union?"
35,35,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just graduated after the exam, but I have no practical experience","We belong to a union, are you member of a union?"
36,36,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just received my diploma after the exam but I have no practical experience","We belong to a union, are you member of a union?"
37,37,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just got my diploma after the exam but I have no practical experience","We belong to a union, are you member of a union?"
38,38,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just graduated after the exam, but have no practical experience.","We belong to a union, are you member of a union?"
39,39,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just graduated after the exam, but I have no practical experience.","We belong to a union, are you member of a union?"
40,40,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just graduated from the exam but I have no practical experience","We belong to a union, are you member of a union?"
41,41,"
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just graduated after the exam but have no practical experience","We belong to a union, are you member of a union?"
42,42,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and I am always nice and pragmatic.",I see. can you give an example of a situation where it was difficult to do so?
43,43,"
You have applied for the job as receptionist. what makes you a good fit?
I love to talk to people and am always kind and pragmatic.",I see. can you give an example of a situation where it was difficult to do so?
44,44,"
You have applied for the job as receptionist. what makes you a good fit?
I love talking to people and am always nice and pragmatic.",I see. can you give an example of a situation where it was difficult to do so?
45,45,"
You have applied for the job as receptionist. what makes you a good fit?
I love talking to people and I am always friendly and down to earth.",I see. can you give an example of a situation where it was difficult to do so?
46,46,"
You have applied for the job as receptionist. what makes you a good fit?
I love talking to people and am always kind and practical.",I see. can you give an example of a situation where it was difficult to do so?
47,47,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like to help people who want to buy something. It's a lot of fun recommending products to customers.",Have you worked as a clerk before?
48,48,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like helping people who are looking to buy something. it's great fun recommending products to customers.",Have you worked as a clerk before?
49,49,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like to help people who are looking to buy something. it's a lot of fun recommending products to customers.",Have you worked as a clerk before?
50,50,"
You've applied for the job as clerk here. what do you think is fun about this job?
I love to help people who are looking to buy something. it is a lot of fun to recommend products to customers.",Have you worked as a clerk before?
51,51,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like to help people who want to buy something. It's great fun recommending products to customers.",Have you worked as a clerk before?
52,52,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like to help people who want to buy something. It is a lot of fun to recommend products to customers.",Have you worked as a clerk before?
53,53,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like helping people who want to buy something. It's great fun recommending products to customers.",Have you worked as a clerk before?
54,54,"
You've applied for the job as clerk here. what do you think is fun about this job?
I love helping people who want to buy something. It's great fun recommending products to customers.",Have you worked as a clerk before?
55,55,"
You've applied for the job as clerk here. what do you think is fun about this job?
I love helping people who are looking to buy something. it's great fun recommending products to customers.",Have you worked as a clerk before?
56,56,"
You've applied for the job as clerk here. what do you think is fun about this job?
I love helping people looking to buy something. it's a lot of fun recommending products to customers.",Have you worked as a clerk before?
57,57,"
What do you think seems fun about this job?
I think it sounds like an exciting project. I really like doing something new.",That's good. do you ever get bored of repetetive tasks?
58,58,"
What do you think seems fun about this job?
I think this sounds like an exciting project. i really like to dig into something new.",That's good. do you ever get bored of repetetive tasks?
59,59,"
What do you think seems fun about this job?
I think it sounds like an exciting project. I really like delving into something new.",That's good. do you ever get bored of repetetive tasks?
60,60,"
What do you think seems fun about this job?
I think it sounds like an upcoming project. I really enjoy delving into something new.",That's good. do you ever get bored of repetetive tasks?
