Name,src,target
0," You have applied for the job as baker. What do you think is interesting about this work?
I like how your company values ​​its employees."," What is the most important value to you about this job position?
"
1," You have applied for the job as baker. What do you think is interesting about this work?
I like the way your company values ​​its employees."," What is the most important value to you about this job position?
"
2," You have applied for the job as baker. What do you think is interesting about this work?
I like how your company values ​​its workers."," What is the most important value to you about this job position?
"
3," You have applied for the job as baker. What do you think is interesting about this work?
I like the way your company values ​​its workers."," What is the most important value to you about this job position?
"
4," You have applied for the job as baker. What do you think is interesting about this work?
I like the way your company values ​​its people."," What is the most important value to you about this job position?
"
5," What makes you a good fit?
I studied Advanced Baking in London and did my internship there."," How long did you do the internship?
"
6," What makes you a good fit?
I studied advanced cooking in London and also did my internship there."," How long did you do the internship?
"
7," What makes you a good fit?
I studied Advanced Baking in London and also did my internship there."," How long did you do the internship?
"
8," What makes you a good fit?
I studied Advanced Baking in London and also got my internship there."," How long did you do the internship?
"
9," What makes you a good fit?
I studied Advanced Baking in London and I did my internship there."," How long did you do the internship?
"
10," What makes you a good fit?
I studied advanced cooking in London and did my internship there."," How long did you do the internship?
"
11," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was employed as a helper for the head baker in a café."," That is good. Can you tell me what skills you acquired during your internship?
"
12," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was assigned as an assistant to the senior baker in a cafe."," That is good. Can you tell me what skills you acquired during your internship?
"
13," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was assigned as a senior baker's assistant in a cafe."," That is good. Can you tell me what skills you acquired during your internship?
"
14," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was assigned as a helper for the senior baker in a cafe."," That is good. Can you tell me what skills you acquired during your internship?
"
15," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was employed as a helper for the head baker in a cafe."," That is good. Can you tell me what skills you acquired during your internship?
"
16," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I worked as an assistant to the head baker in a cafe."," That is good. Can you tell me what skills you acquired during your internship?
"
17," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was employed as an assistant to the head baker in a bar."," That is good. Can you tell me what skills you acquired during your internship?
"
18," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was employed as the assistant to the head baker in a café."," That is good. Can you tell me what skills you acquired during your internship?
"
19," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was assigned as an assistant to the head baker in a cafe."," That is good. Can you tell me what skills you acquired during your internship?
"
20," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was employed as a senior baker's assistant in a café."," That is good. Can you tell me what skills you acquired during your internship?
"
21," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was assigned as an assistant to a senior baker in a coffee shop."," That is good. Can you tell me what skills you acquired during your internship?
"
22," Is there anything you want to ask about this job?
I know you are a new baking company here. Do you have other offices elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
23," Is there anything you want to ask about this job?
I know you are a new bakery business here. Do you have other branches elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
24," Is there anything you want to ask about this job?
I know you are a new bakery company here. Do you have other branches elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
25," Is there anything you want to ask about this job?
I know you are a new bakery business here. Do you have other offices elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
26," Is there anything you want to ask about this job?
I know you are a new bakery company here. Do you have other offices elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
27," Is there anything you want to ask about this job?
I know you have a new bakery business here. Do you have other branches elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
28," Is there anything you want to ask about this job?
I know you are a new bakery here. Do you have other offices elsewhere?"," Yes. We have branches in New York, London, and Japan.
"
29," What is your best experience from your previous jobs?
I haven't had a job in the past."," Oh okay. Did you just graduate?
"
30," What is your best experience from your previous jobs?
I have no job in the past."," Oh okay. Did you just graduate?
"
31," What is your best experience from your previous jobs?
I don't have a job in the past."," Oh okay. Did you just graduate?
"
32," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I like contributing to our community by being part of the healthcare industry."," How long have you been in the healthcare industry?
"
33," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I love to contribute to our community by being part of the healthcare industry."," How long have you been in the healthcare industry?
"
34," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I like to contribute to our community by being a part of the healthcare industry."," How long have you been in the healthcare industry?
"
35," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I enjoy contributing to our community by being part of the healthcare industry."," How long have you been in the healthcare industry?
"
36," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I love adding to our community by being part of the healthcare industry."," How long have you been in the healthcare industry?
"
37," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I love contributing to our community by being a part of the healthcare industry."," How long have you been in the healthcare industry?
"
