,Unnamed: 0,Unnamed: 0.1,Name,target,src
146,146,,40,"There's five people in finance right now, but we might hire more people soon.","
Is there anything you want to ask about this job?
To whom will i report?
Your manager will be the cfo. anything else?
How many people work in finance?"
70,70,70.0,70," How long was the course you took?
"," Do you have any education in making cocktails etc?
Yes, I took a course in making cocktails and drinks. It should have been attached to my application.
"
113,113,,7,"I see, that sounds like a good quality for this job!","
What do you think seems fun about this job?
I like taking care of people. it makes me feel important!"
106,106,,0,I take it you're very social then?,"
What do you think seems fun about this job?
I like working with and getting to know new people!"
55,55,55.0,55," Great, what do you enjoy about working as a cleaner?
"," What have you worked with previously?
I have previously worked as a cleaner for 2 years and I have worked in a warehouse for 5 years.
"
181,181,,76,"We belong to a union, are you member of a union?","
You want to work as laboratory assistant. is that correct?
Yes it has always been my dream to analyse specimen
Do you have education for this job and experience?
I just got my diploma after examination but have no practical experience"
158,158,,52,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and i'm always nice and pragmatic."
116,116,,10,Have you worked as a clerk before?,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like to help people who are looking to buy something. it's very fun to recommend products to customers."
109,109,,3,That's good. do you ever get bored of repetetive tasks?,"
What do you think seems fun about this job?
I think it sounds like an exiting project. i really like to dig in to something new."
13,13,13.0,13," We have morning shifts and night shifts available.
"," Is there anything you want to ask about this job?
What shifts are currently available right now?
"
44,44,44.0,44," Ok, can you give any examples of a stressful situation and how you handled it?
"," How do you handle stressful situations in your work?
I have a lot of experience with stressful situations and I can handle them well.
"
29,29,29.0,29," What does your manager require you to do?
"," If you are going to work in our shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked at a retail store before and every Monday our manager arranges a meeting with us to make sure we are working as a team.
"
50,50,50.0,50," What have you worked as previously?
"," Have you got any past experience working as a taxi driver?
No, I have never worked as a taxi driver before.
"
137,137,,31,And how do you handle stress when things are hectic for a long time?,"
What makes you fit well as a waiter?
I have fast reflexes and like when things are fast paced."
5,5,5.0,5," What attracted you to our company. 
"," You have applied for the job as baker. What do you think is interesting about this work?
First of all, I like you company. And second, I would like to learn baking new things. 
"
135,135,,29,So you take a lot of pride in your work?,"
What makes you fit well as a doctor?
I'm very intelligent and to cure sick people is what drives me. it's something i've dreamed of since i was a child."
117,117,,11,And are you good at talking to customers? would you describe yourself as social?,"
You've applied for the job as taxi driver. what do you think is fun about this job?
I've always liked driving cars, and getting somewhere is a fun puzzle to solve."
63,63,63.0,63," What have you previously worked as?
"," Do you have any past experience in working as a security guard?
No, I do not have any past experience. 
"
24,24,24.0,24," What is your favourite car to work on?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
I like cars and I would like to get better as a mechanic. 
"
72,72,72.0,0," What pastries have you baked in the past?
"," You have applied for the job as baker. What do you think is interesting about this work?
I think it is interesting to learn locally baked French pastries.
"
186,186,,81,How long did you do brick laying for? and are you used to working overtime?,"
You are looking for a job as contrution worker. why are you applying this job?
I have heard you have a code of conduct that would fit me
How would you descibe a perfect manager?
A person who is strict and fair
In what area of construction have you worked before?
Both house building as a brick layer"
164,164,,59,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as controller. what makes you a good fit?
I like figures and am well organised. i always deliver on time."
136,136,,30,For how long have you worked in the kitchen? ,"
What makes you fit well as a chef?
I have always loved cooking food. "
163,163,,58,We will hire a temp.,"
Is there anything you want to ask about this job?
Will i be the only cleaner in the office?
No, there's another person you will work with. her name is maria.
During my vacation who will do the cleaning?"
170,170,,65,That sounds like a difficult situation. how did it go?,"
You have applied for the job as manager for the marketing division. what makes you a good fit?
I have a long experince in marketing in the distribution area
I see. can you give an example of a situation where it was difficult to do so?
When the market for newpapers went down i did not know what way to direct my employees"
141,141,,35,I understand. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as manager for our warehouse. what makes you suitable for this position?
I am good at organizing both people and administration."
224,224,,121,How do you make customers satisfied?,"
You have applied for a position in customer support. what kind of skills do you have that make you a good fit?
I am very friendly with people and like to make customers satisfied. "
157,157,,51,You will work close to your manager. she will take good care of you! anything else?,"
What is most important for you in a this position?
To have a guiding manager who can teach me in the beginning"
231,231,,128,"Of course, i will get you a cup of tea.","
Welcome to this interview!
Thank you very much.
How was your trip? was it hard to find your way here?
I had some troubles yes, but i managed to find my way just in time.
Yes i can imagine, it is a rather unknown neighbourhood. anyhow, would you like a cup of coffee before we start?
No thank you, but i would like a cup of tea. i am actually not a big fan of coffee."
213,213,,110,Do you have any children yourself?,"
You have applied for the job as kindergarden teacher. what do you think seems fun about this job?
I enjoy working with kids and i love to teach. "
22,22,22.0,22," The schedule will be five days a week, eight hours a day starting at seven o'clock in the morning.
"," Is there anything you want to ask about this job?
What is the working schedule?
"
123,123,,17,What made it challenging? and what did you learn? ,"
What's your best experience from your previous jobs?
I recently had a temporary position as event organiser which i thought was super fun, although challenging at times."
225,225,,122,"That sounds interesting, can you talk a little more about how you make learning fun?","
You have applied for a teaching position. what kind of skills do you have that make you a good teacher?
I am good at explaining things and making learning fun!"
127,127,,21,What kind of a part time job was it?,"
What's your best experience from your previous jobs?
I had a part time job when i finished my studies, and it was really nice to get a foot into the job market before i was actually finished."
26,26,26.0,26," Out customers have all types of cars, so it is hard to say exactly. 
"," Is there anything you want to ask about this job?
What kind of cars would I be working with?
"
142,142,,36,You will have an extra week of vacation ,"
What is the most important for you in a management position?
That responsabilites and authorities correspond.
Yes you will have a proper job description. anything else?
Is overtime financially compensated or do you offer an extra week of vacation?"
151,151,,45,There's 65 people who work in this office. any other questions? ,"
Is there anything you want to ask about this job?
How many employees work in this office?"
168,168,,63,We will hire a computer science student who will cover for you. ,"
Is there anything you want to ask about this job?
Will i be the only one in it-support in the office?
I like my colleagues. anything else?
During my vacation who will do the support?"
204,204,,101,"Great, we will let you know as soon as we have interviewed the other candidates as well","
Is there anything you want to ask about this job?
No i do not think so. "
99,99,99.0,27," What is your duty as part of your team?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I am a part of a warehouse team.
"
194,194,,90,"I see, so what type of open source projects have you worked on?","
If you are going to work as an engineer, it is good if you have experience from working with others. can you tell me a little if you have such experience?
I have been working in several open source coding projects, where multiple programmers have to work together to get the code to run efficient. "
67,67,67.0,67," Do you know anyone who has worked here previously?
"," You have applied for the job as a bartender. Why have you applied for this job?
I have applied for this job because I have heard it is a nice place to work at. 
"
176,176,,71,"Okay, and for how long have you been working as a carpenter?","
You have applied for the job as carpenter. what makes you a good fit?
I am good at working with many different tools."
74,74,74.0,2," Awesome. What is your main task as a part of that team?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I had been a part of the production team in a cafe before. We are composed of three production bakers.
"
61,61,61.0,61," Great, we will get in touch once we have interviewed all the applicants. 
"," Do you have any questions about the job?
Not really, I am very interested to get started!
"
87,87,87.0,15," What duty do you partake on stock delivery?
"," If you are going to work in our shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked with delivery teams on my past retail job before.
"
221,221,,118,Great. could you give me an example of a job you have had where you had to handle stress?,"
How do you cope with working under stress?
I am fine with that. i am used to working under stress."
208,208,,105,Do you have any other characteristics that would be suitable for the job?,"
What makes you fit well as a construction worker?
I like details, and i am quite strong. "
192,192,,88,What types of problems would you usually do?,"
If you are going to work as a janitor, it is good if you have experience from working with others. can you tell me a little if you have such experience?
When i was high school i would often do projects with the other students in my school. "
229,229,,126,A glass of water then?,"
Welcome to this interview!
Thank you very much.
How was your trip? was it hard to find your way here?
No, not at all. i am familiar with this part of town since before.
That is great to hear. would you like a cup of coffee before we start?
No thank you, i am fine."
