Name,src,target
000000,"
What do you think seems fun about this job?
I like working with and getting to know new people!",I take it you're very social then?
000001,"
What do you think seems fun about this job?
I am eager to learn more about marketing and you have some very talented people here.",Yes we really do. what are you eager to learn specifically?
000002,"
What do you think seems fun about this job?
It's exiting to be part of such a big company. i have only worked at smaller firms before.",And how do you think it will be to work in a bigger company?
000003,"
What do you think seems fun about this job?
I think it sounds like an exiting project. i really like to dig in to something new.",That's good. do you ever get bored of repetetive tasks?
000004,"
What do you think seems fun about this job?
The location is really good. i live only five minutes away.",Yes it's a good location. where do you live?
000005,"
What do you think seems fun about this job?
The job description said it included a lot of variety. i think that sounds good",Is variety in your job important to you?
000006,"
What do you think seems fun about this job?
The job description said it included travelling. i like seeing new places and being on the move.",Yes you would travel quite a lot during parts of the year.
000007,"
What do you think seems fun about this job?
I like taking care of people. it makes me feel important!","I see, that sounds like a good quality for this job!"
000008,"
What do you think seems fun about this job?
It seems like a challening project.",Yes that's why we are looking for new competence. what is your experience with working in a team?
000009,"
You've applied for the job as fireman. what do you think is fun about this job?
It makes me feel important to help people in difficult situations. ",And how would you feel if you fail on a mission?
000010,"
You've applied for the job as clerk here. what do you think is fun about this job?
I like to help people who are looking to buy something. it's very fun to recommend products to customers.",Have you worked as a clerk before?
000011,"
You've applied for the job as taxi driver. what do you think is fun about this job?
I've always liked driving cars, and getting somewhere is a fun puzzle to solve.",And are you good at talking to customers? would you describe yourself as social?
000012,"
You've applied for the job as nurse. what do you think is fun about this job?
It's a job where a lot of things happen and i like always having something to do and not being passive.
And have you worked as a nurse before?
Yes, for five years before my maternity leave.",Okay and when can you start working?
000013,"
What's your best experience from your previous jobs?
I used to work at a small firm where we had a very tight team. it felt like a group of friends who happened to work together.","I understand, because that's how i feel about working here!"
000014,"
What's your best experience from your previous jobs?
In my second job at ikea i had a really nice manager that i clicked with.",Tell me a little more about what was good about that.
000015,"
What's your best experience from your previous jobs?
In my last job i had a very experienced senior who taught me a lot about programming.",Did you work closely together with this person for a long time? what was the most valuably lesson they taught you?
000016,"
What's your best experience from your previous jobs?
I worked in a place where i had a lot of freedom in my working hours. i liked being able to set my own schedule sometimes.","That sounds nice, but i'm not sure we can offer that flexibility here."
000017,"
What's your best experience from your previous jobs?
I recently had a temporary position as event organiser which i thought was super fun, although challenging at times.",What made it challenging? and what did you learn? 
000018,"
What's your best experience from your previous jobs?
I don't know
Okay, i see. what about your best colleague?
I worked with a really cool girl in my last job. ",What about her was cool?
000019,"
What's your best experience from your previous jobs?
When i worked for a political party when i was young. 
What made it a good experience?
It felt like a community and it was very meaningful for me to work there.",That sounds inspirational!
000020,"
What's your best experience from your previous jobs?
I worked with software testing of an app when i was a student. it was my first real job experience and i learnt a lot.",What kind of sofware did you test? what was the app called?
000021,"
What's your best experience from your previous jobs?
I had a part time job when i finished my studies, and it was really nice to get a foot into the job market before i was actually finished.",What kind of a part time job was it?
000022,"
What's your best experience from your previous jobs?
When i lived in canada, i worked as a cleaner at a small family business. everyone was very friendly and it was always fun to go to work.",Would you say that you felt at home there?
000023,"
What makes you fit well as a police?
I think that i am very good at talking to people in difficult situations. i am good at being calm even though i am in a pressed situation.","Okay, can you describe a situation where you had to stay calm?"
000024,"
What makes you fit well as a construction worker?
I've always been good at working physically. i think it's fun.",What about it makes it fun? are you also good at working with others?
000025,"
What makes you a good shop clerk?
I am organised and have a good memory, so i am good at helping customers find what they are looking for.
That sounds good. and how are you with people?
In what way?",I am wondering if you think of yourself as a social person?
000026,"
What makes you fit well as a taxi driver?
I'm good at driving cars. ","Okay, for how long have you had your license?"
000027,"
What makes you fit well as a nurse?
I am friendly with people, and am very good at calming sick people.
How do you handle someone who isn't calm?
I carefully explain what is going on and explain the medical procedure.",And if that does not work?
000028,"
What makes you fit well as a teacher?
I find value in teaching others.",Do you ever have any problem when people don't want to learn?
000029,"
What makes you fit well as a doctor?
I'm very intelligent and to cure sick people is what drives me. it's something i've dreamed of since i was a child.",So you take a lot of pride in your work?
000030,"
What makes you fit well as a chef?
I have always loved cooking food. ",For how long have you worked in the kitchen? 
000031,"
What makes you fit well as a waiter?
I have fast reflexes and like when things are fast paced.",And how do you handle stress when things are hectic for a long time?
000032,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and i'm always nice and pragmatic.",I see. can you give an example of a situation where it was difficult to do so?
000033,"
Is there anything you want to ask about this job?
How do you like your collegues?",I like my colleagues. anything else you're wondering?
000034,"
You have applied for the job as waiter. what makes you a good fit?
I am observant and have a good memory
I see. can you give an example of a situation where it was difficult to do so?
Once i had a customer that changed his order, and forgot that the order was changed. he was very upset that he did not remember that. i managed to remember him about the change.
Is there anything you want to ask about this job?
Is there a need for working overtime? i have small children and can have difficulties with that.",Only occasionally. anything else?
000035,"
You have applied for the job as manager for our warehouse. what makes you suitable for this position?
I am good at organizing both people and administration.",I understand. can you give an example of a situation where it was difficult to do so?
000036,"
What is the most important for you in a management position?
That responsabilites and authorities correspond.
Yes you will have a proper job description. anything else?
Is overtime financially compensated or do you offer an extra week of vacation?",You will have an extra week of vacation 
000037,"
You have applied for the job as cleaner of our office. what about you as a person makes you a good cleaner?
I like to clean and tidy up and i am very careful and efficent.",I see. can you give an example of a situation where it was difficult to do so?
000038,"
Is there anything you want to ask about this job?
Will i be the only cleaner in the office?
No, there's another person you will work with.
During my vacation who will do the cleaning?",We will hire a temp to take care of it. any other questions?
000039,"
You have applied for the job as controller. what makes you a good fit?
I like figures and am well organised. i always deliver on time.",I see. can you give an example of a situation where it was difficult to do so?
000040,"
Is there anything you want to ask about this job?
To whom will i report?
Your manager will be the cfo. anything else?
How many people work in finance?","There's five people in finance right now, but we might hire more people soon."
000041,"
You have applied for the job as finance assistant. what makes you a good fit?
I am good at reading figures and am detail oriented. and i always deliver on time.",Can you explain more about how you are detail oriented?
000042,"
You have applied for the job as it-support of our office. what makes you a good fit?
I like to clean and fix computers and i am very careful and efficent.",I see. can you give an example of a situation where it was difficult to do so?
000043,"
Is there anything you want to ask about this job?
Will i be the only one in it-support in the office?
I like my colleagues. anything else?
During my vacation who will do the support?",We will hire a student to cover for you during your vacation. 
000044,"
You have applied for the job as controller. what makes you a good fit?
I like figures and is well organised. i always deliver on time.",I see. can you give an example of a situation where it was difficult to do so?
000045,"
Is there anything you want to ask about this job?
How many employees work in this office?",There's 65 people who work in this office. any other questions? 
000046,"
You have applied for the job as finance assistent. what makes you a good fit?
I am good at reading figures and is detailoriented. i always deliver on time.",I see. can you give an example of a situation where it was difficult to do so?
000047,"
You have applied for the job as it-support of our office. what makes you a good fit?
I like to clean and fix computers and i am very careful and efficent.",I see. can you give an example of a situation where it was difficult to do so?
000048,"
Is there anything you want to ask about this job?
Will i be the only one in it-support in the office?
No we've got a team of four people working already.
That's nice
You have applied for the job as manager for our customer support. what makes you a good fit?
I am good at organizing, communicating with people and administration.",Describe a situation where it was difficult to do so.
000049,"
You have applied for the job as manager. what makes you a good fit?
I am very motivated and have skills to lead people.",I see. can you give an example of a situation where it was difficult to do so?
000050,"
You have applied for the job as carpenter. what makes you a good fit?
I am good at working with many different tools.","Okay, and for how long have you been working as a carpenter?"
000051,"
What is most important for you in a this position?
To have a guiding manager who can teach me in the beginning",You will work close to your manager. she will take good care of you! anything else?
000052,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and i'm always nice and pragmatic.",I see. can you give an example of a situation where it was difficult to do so?
000053,"
Is there anything you want to ask about this job?
How do you like your collegues?
I like my colleagues. anything else?
What is the salary?",25000 
000054,"
You have applied for the job as waiter. what makes you a good fit?
I am observant and have a good memory
I see. can you give an example of a situation where it was difficult to do so?
Once i had a customer that changed his order, and forgot that the order was changed. he was very upset that he did not remember that. i managed to remember him about the change.
Is there anything you want to ask about this job?
Is there a need for working overtime? i have small children and can have difficulties with that.",Only occasionally. we try to keep it to a minimum! anything else?
