Name,src,target
000115,"You have applied for the job as controller. What makes you a good fit?
I like figures and am well organised. I always deliver on time.
",I see. Can you give an example of a situation where it was difficult to do so?
000017,"You have applied for the job as IT-support of our office. What makes you a good fit?
I like to clean and fix computers and I am very careful and efficent.
",I see. Can you give an example of a situation where it was difficult to do so?
000086,"You have applied for a teaching position. What kind of skills do you have that make you a good teacher?
I am good at explaining things and making learning fun!
","That sounds interesting, can you talk a little more about how you make learning fun?"
000067,"If you are going to work as a mail man, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I often organise parties in my neighbourhood. We are often 3 to 4 people who plan everything from the food to the music. 
",What is your role in those planning sessions?
000129,"You have applied for the job as manager for the administration. What makes you a good fit?
I have motivation for and sqills for administration.
I see. Can you give an example of a situation where it was difficult to do so?
It when I hired the wrong person for the reception.
What is the most important for you in a managementposition?
Will I have proper instructions
Yes you will have a proper job description. Anything else?
how long have the present persons in the administration worked?
",10 years
000036,"You have applied for the job as manager. What makes you a good fit?
I am very motivated and have skills to lead people.
",I see. Can you give an example of a situation where it was difficult to do so?
000105,"You have applied for the job as waiter. What makes you a good fit?
I am observant and have a good memory
",I see. Can you give an example of a situation where it was difficult to do so?
000148,"You have applied for the job as carpenter. What makes you a good fit?
I am good at working with many different tools.
","Okay, and for how long have you been working as a carpenter?"
000084,"Where do you see yourself in 5 years
I am aiming at becoming a manager of this branch
Do you have any work experience of being a manager?
No, not yet.
",Do you have any study background in terms of leadership and organization?
000097,"Welcome to this interview!
Thank you very much.
How was your trip? Was it hard to find your way here?
I had some troubles yes, but I managed to find my way just in time.
","Yes I can imagine, it is a rather unknown neighbourhood. Anyhow, would you like a cup of coffee before we start?"
000166,"I see you have applied for a job as car mechanic
Yes I always loved to cars.
",Have you any experience since before?
000021,"You have applied for the job as manager for the administration. What makes you a good fit?
I have motivation for and sqills for administration.
I see. Can you give an example of a situation where it was difficult to do so?
It when I hired the wrong person for the reception.
",What is the most important for you in a management position?
