Name,target,src
0," What baking skills do you already have?
"," You have applied for the job as baker. What do you think is interesting about this work?
I think it is interesting to learn new baking skills.
"
1," What course did you study?
"," What makes you a good fit?
I studied food safety and sanitation standards.
"
2," That sounds good, but why did you leave your job in your home country?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have a junior baker with me back in my home country and we worked together for three years.
"
3," Yes, you can be a senior baker where you can participate in product development of limited edition artisan pastries sooner or later, depending on your performance.
"," Is there anything you want to ask about this job?
Is there any opportunity for growth with your company within three years?
"
4," What is your main obligation as a senior baker?
"," What is your best experience from your previous jobs?
I got promoted as the senior baker at the pastry shop and had the chance to learn some leadership skills.
"
5," What attracted you to our company. 
"," You have applied for the job as baker. What do you think is interesting about this work?
First of all, I like you company. And second, I would like to learn baking new things. 
"
6," What is you favourite thing to bake?
"," What makes you a good fit?
I like to bake things, and to get up early in the morning. 
"
7," That sounds good, but have you had any experience working with others in your profession?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have been on the board for my local football club for several years. 
"
8," No, everything you need will be available at the bakery. 
"," Is there anything you want to ask about this job?
Do I have to buy and bring my own equipment to the bakery?
"
9," What did you do at the cafe?
"," What is your best experience from your previous jobs?
When I worked at a local cafe, I had great colleagues. 
"
10," What is your job position while doing volunteer works?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I like caring for people. I had done volunteer works before in remote locations that lacked healthcare providers.
"
11," What kind of people have you cared for before?
"," What makes you a good fit?
I have a lot of patience working with people.
"
12," What help did they get from you as their fellow nurse?
"," If you are going to work in the healthcare industry, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
When I worked as a staff nurse, I worked with other nurses like me. We help each other with our responsibilities.
"
13," We have morning shifts and night shifts available.
"," Is there anything you want to ask about this job?
What shifts are currently available right now?
"
14," That sounds good. What do you think they befriended you?
"," What is your best experience from your previous jobs?
In my past job, I cared for the elderly. I became friends with them. 
"
15," Is there anything else you like about this job?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I really like to help people, it makes me happy. 
"
16," What is the relevant experience or education for working in the healthcare industry that you have?
"," What makes you a good fit?
I have both an education and relevant experience working in the health care industry.  
"
17," What did you collaborate about with your colleagues?
"," If you are going to work in the healthcare industry, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
When I worked as a medical receptionist, I had a team of colleagues and we had a great collaboration.
"
18," You start at eight in the morning and finish at half past four in the afternoon. Would you like to ask anything else?
"," Is there anything you want to ask about this job?
How long are the work days?
"
19," That sounds interesting. Where did you do you volunteer work?
"," What is your best experience from your previous jobs?
I really liked when I did volunteer work. 
"
20," Do you have experience repairing trucks?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
It's interesting to work for a company that does repair big vehicles like you.
"
21," How many days does it usually take for one vehicle repair to finish?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. For one vehicle , we are usually working with a team of two to three people.
"
22," The schedule will be five days a week, eight hours a day starting at seven o'clock in the morning.
"," Is there anything you want to ask about this job?
What is the working schedule?
"
23," That's nice. How's your experience with electric cars?
"," What is your best experience from your previous jobs?
My best experience is when I got my hands on my first electric car repair.
"
24," What is your favourite car to work on?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
I like cars and I would like to get better as a mechanic. 
"
25," Is you father a car mechanic as well?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have always worked with my father on various cars. We like to discuss all things related to cars.
"
26," Out customers have all types of cars, so it is hard to say exactly. 
"," Is there anything you want to ask about this job?
What kind of cars would I be working with?
"
27," That is impressive. Did it work?
"," What is your best experience from your previous jobs?
When I build my first engine. 
"
