Name,target,src
0," What pastries have you baked in the past?
"," You have applied for the job as baker. What do you think is interesting about this work?
I think it is interesting to learn locally baked French pastries.
"
1," What do you think is your greatest skill?
"," What makes you a good fit?
I have all the skills and experience listed in the job description.
"
2," Awesome. What is your main task as a part of that team?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I had been a part of the production team in a cafe before. We are composed of three production bakers.
"
3," Some other tasks that you can potentially take over include mentoring your acquaintances.
"," Is there anything you want to ask about this job?
Aside from baking pastries, what other tasks should I expect to take over?
"
4," Why do you like baking training?
"," What is your best experience from your previous jobs?
My best experience is being able to attend free baking training every year.
"
5," What are the usual people you encounter in your last job?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I think it is interesting to meet new people and keep them company until they get better.
"
6," How long have you worked at that hospital?
"," What makes you a good fit?
I think I am a good fit because I worked at a hospital before.
"
7," Great. What type of patients are you helping with?
"," If you are going to work in the healthcare industry, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
When I worked as a healthcare assistant, I worked with patients. I helped them with their basic hygiene activities.
"
8," We have open healthcare assistant jobs for pediatrics, maternity, and geriatrics right now. You will be assigned to the ward that is most relevant to your skills and experience. 
"," Is there anything you want to ask about this job?
Is there an open job position in the pediatric ward? If ever, can I help out there?
"
9," Sounds interesting. What job role have you played while working there?
"," What is your best experience from your previous jobs?
When I did volunteer work for malnourished children in Asia.
"
10," What are you most experienced in cars, the electric-powered or gasoline-powered?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
I'm passionate about cars. It's interesting to know that I can help people to save their cars.
"
11," How many car owners do you interview a day?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I am working directly with the car owners so they can describe their problematic encounters to me.
"
12," Yes. You will sign-up for at least one year of the work contract agreement.
"," Is there anything you want to ask about this job?
Am I going to work on a contract basis?
"
13," How did you do in that competition?
"," What is your best experience from your previous jobs?
When my past employer holds an annual car mechanic competition to repair a car.
"
14," What store duties have you done before?
"," You have applied for the job as a retail worker. What do you think is interesting about this job?
It's interesting to keep the store always neat and organized. Eye pleasing to the customers.
"
15," What duty do you partake on stock delivery?
"," If you are going to work in our shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked with delivery teams on my past retail job before.
"
16," Yes. We will train you basic things about the shop regardless of your experience in the past.
"," Is there anything you want to ask about this job?
Do you offer on-the-job training?
"
17," What did you like about team building?
"," What is your best experience from your previous jobs?
My best experience is when the company I worked for in the past arranges team building every year.
"
18," Do you have experience doing inventory work on a computer or manually?
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
I like to work on administrative tasks in inventory controls.
"
19," How did you cooperate with your warehouse manager at that time?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked closely with the warehouse manager on my previous work.
"
20," The minimum shift is six hours a day while on busy days can go up to eight hours a day.
"," Is there anything you want to ask about this job?
How long are the shifts?
"
21," How did you work as a mailman?
"," What is your best experience from your previous jobs?
When I worked as a mailman. I got a lot of exercise during my work day. 
"
22," How long did you drive on a day on your past job? (if any)
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
I like driving long roads.
"
23," Are you comfortable working with a codriver?
"," If you are going to work at our cargo company, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I have a codriver working with me where we exchange shifts during more than eight-hour-long drives.
"
24," The job requires you to work for five days a week.
"," Is there anything you want to ask about this job?
How many days a week should I work?
"
25," Great. What else does your past employer give as a great offer to you back then?
"," What is your best experience from your previous jobs?
The best experience in my past job is when my employer takes care of our lodging when we do very long-hour drives.
"
26," What physical jobs have you done before?
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
I like to do more physically active jobs than clerical jobs.
"
27," What is your duty as part of your team?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I am a part of a warehouse team.
"
28," We have ten vacant jobs open. If you like, you can refer a friend.
"," Is there anything you want to ask about this job?
How many vacant jobs do you have right now?
"
29," What other jobs did you have in the past?
"," What is your best experience from your previous jobs?
I like doing physically active jobs because I feel healthy.
"
30," What is your working schedule in your past job look like?
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
It offers a steady paycheck and regular delivery schedules for me.
"
31," That is good. What does a usual conversation like between you and the people who receive orders?
"," If you are going to work at our cargo company, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I usually drive trucks alone but I interact with people who receive the orders.
"
32," We both have open jobs for regular workers and on-call workers. Which one do you prefer?
"," Is there anything you want to ask about this job?
Is this a regular job or an on-call job?
"
33," What brand manufacturer of trucks had you driven before?
"," What is your best experience from your previous jobs?
Their trucks are always in good condition and undergo regular maintenance.
"
